vertical,website,doc_id,attribute,true,pred,reason
movie,rottentomatoes,1588,title,Faster,driver,nonsense
movie,amctv,1446,title,Caché,piano teacher,nonsense
movie,rottentomatoes,1273,title,Danger: Diabolik,gold statue,nonsense
movie,amctv,1722,title,Gummo,kids ( 1995,nonsense
movie,rottentomatoes,1685,title,Firehouse Dog,leatherheads,incorrect value
movie,amctv,1467,title,Cadaveri Eccellenti,parallax view ( 1974,incorrect value
movie,rottentomatoes,1763,title,Big,milk of sorrow,incorrect value
movie,rottentomatoes,1098,title,Three Men and a Baby (3 Men and a Baby),three men and a cradle,incorrect value
movie,amctv,0346,title,Carnal Knowledge,slackers,nonsense
movie,rottentomatoes,0433,title,M� Panenko (The Firemen's Ball),meltdown,nonsense
movie,rottentomatoes,0363,title,Secret Agent,secret agent x - 9,overcomplete value
movie,amctv,0409,title,Roxanne,moonstruck ( 1987,incorrect value
movie,rottentomatoes,1972,title,Confessions of a Teenage Drama Queen,confessions,incomplete value
movie,amctv,1960,title,Eulogy,home for the holidays ( 1995,incorrect value
movie,rottentomatoes,1749,title,As You Like It,milk of sorrow,incorrect value
movie,amctv,1222,title,The Reivers,yellow winton flyer,nonsense
movie,amctv,1327,title,Que la Bête Meure,"let the beast die, this man must die",nonsense
movie,rottentomatoes,0647,title,Down and Out in Beverly Hills,boudu saved from drowning,nonsense
movie,rottentomatoes,0783,title,Monumental: David Brower's Fight for Wild America,milk of sorrow,incorrect value
movie,rottentomatoes,1596,title,Escaflowne - The Movie,milk of sorrow,incorrect value
movie,rottentomatoes,1165,title,L'Iceberg,fiona's folly,nonsense
movie,amctv,1311,title,Don't Tell Mom the Babysitter's Dead,big ( 1988,incorrect value
movie,amctv,0776,title,Fanboys,star wars,incorrect value
movie,rottentomatoes,0709,title,The World's Fastest Indian,milk of sorrow,incorrect value
movie,amctv,0242,title,Educating Rita,tootsie ( 1982,incorrect value
movie,amctv,0121,title,Ofelas,news at eleven ( 1986,incorrect value
movie,rottentomatoes,1042,title,The Dinner Game (Le D�ner de cons),dinner game,incomplete value
movie,rottentomatoes,1105,title,Plan 9 from Outer Space,solaranite,nonsense
movie,rottentomatoes,0121,title,Eat Drink Man Woman (Yin shi nan nu),water for chocolate,incorrect value
movie,rottentomatoes,0742,title,Los Abrazos Rotos (Broken Embraces) (Broken Hugs),un film de almodovar,nonsense
movie,rottentomatoes,1127,title,Shanghai Knights,cable tv,nonsense
movie,imdb,1945,title,Until Death,band of horses,nonsense
movie,yahoo,1457,title,&nbsp;,coraline,incorrect value
movie,imdb,0609,title,Twelve,band of horses,nonsense
movie,yahoo,0365,title,Taxi Driver (1976),community,nonsense
movie,yahoo,1171,title,The Dust Factory (2004),community,nonsense
movie,yahoo,0763,title,The Visit (2000),community,nonsense
movie,imdb,0417,title,When Will I Be Loved,band of horses,nonsense
movie,yahoo,0224,title,Hard to Kill (1990),community,nonsense
movie,yahoo,0197,title,The Face of Another (1966),community,nonsense
movie,yahoo,0092,title,Fly Away Home (1996),community,nonsense
movie,yahoo,1919,title,Wonderful World (2010),community,nonsense
movie,yahoo,1764,title,Amelia (2009),community,nonsense
movie,yahoo,1444,title,Andrei Tarkovsky (1984),community,nonsense
movie,imdb,1708,title,The Crime of Father Amaro,amelia,incorrect value
movie,imdb,1171,title,Wolf,nightmare on elm street,incorrect value
movie,imdb,0758,title,Crank: High Voltage,ghost rider : spirit of vengeance,incorrect value
movie,yahoo,1632,title,The Nutcracker in 3D (2010),community,nonsense
movie,imdb,1953,title,The Newton Boys,band of horses,nonsense
movie,yahoo,0081,title,Boys Don t Cry (1999),community,nonsense
movie,yahoo,1419,title,Night at the Museum (2006),community,nonsense
movie,hollywood,0224,title,Heatwave,inception,incorrect value
movie,boxofficemojo,1815,title,Milk,tangled,incorrect value
movie,hollywood,1115,title,I Love Budapest,inception,incorrect value
movie,boxofficemojo,0628,title,Species II,tangled,incorrect value
movie,hollywood,1342,title,Strayed,inception,incorrect value
movie,boxofficemojo,0165,title,Shattered Glass,tangled,incorrect value
movie,hollywood,0112,title,"Just You and Me, Kid",inception,incorrect value
movie,boxofficemojo,1183,title,Hart's War,tangled,incorrect value
movie,hollywood,1064,title,The Gleaners and I,inception,incorrect value
movie,hollywood,0039,title,King Kong,inception,incorrect value
movie,boxofficemojo,0727,title,The Game Plan,30 days of night,incorrect value
movie,hollywood,1730,title,How to Lose Friends and Alienate People,chihuahua,nonsense
movie,hollywood,1698,title,Ace Ventura Jr.: Pet Detective,inception,incorrect value
movie,boxofficemojo,1717,title,Along Came a Spider,tangled,incorrect value
movie,hollywood,0435,title,The Good Wife,inception,incorrect value
movie,hollywood,1586,title,Goya's Ghosts,inception,incorrect value
movie,hollywood,1403,title,Moonlight,inception,incorrect value
movie,hollywood,0550,title,I Hired a Contract Killer,inception,incorrect value
movie,boxofficemojo,1509,title,Are We Done Yet?,tangled,incorrect value
movie,boxofficemojo,0979,title,The Hand That Rocks the Cradle,tangled,incorrect value
